"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"brassicaceae"	"brassica"	"rapa"	"california"	"santa barbara"	"santa barbara island: near nps ranger station"	"e6c26f1f-e360-494a-9789-c45b40686eb2"	1
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island. at head of cliff canyon at base of arch point."	"0eab6b2d-5ded-4680-a47e-01e3ada51f37"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: n flanks of signal pk, n of old trail to webster pt"	"228f80f9-1d4c-4383-9707-0247304fc22e"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"channel islands santa barbara island, west side of island, on north side of signal peak, north of old trail to webster point"	"233f644d-9c95-4a41-a746-d2807c8f7927"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: cliff cyn, just down canyon from nps vegetation transect #12"	"34505960-0796-4a63-9d71-3f48ee071b4c"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"head of cliff canyon at base of arch pt."	"3c9dea57-fb76-4b5e-92f4-d10a2b0d2f4c"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: mesa e of north pk"	"40d628a4-60eb-428a-80da-21434d12d27f"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: head of cliff cyn at base of arch pt"	"5d136332-0c86-4d22-9978-c779740907ce"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: signal pk"	"88e77400-817d-471a-b597-7777b5103bff"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: middle of slope, landing cove area"	"8c5caace-5e39-4b02-9dc4-f0f4e4c0780c"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island. e of north peak."	"a99a83ba-a70b-47b5-8d4e-abe1ef283a08"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: landing cove"	"b62d89ce-c21e-497e-9a4e-bbc4fe4e6c8e"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: upper third of cave cyn"	"b95de14d-e8b3-4ce6-964d-f63a03be0e36"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: summit area, north pk"	"e0af4f51-4b37-45f5-9d87-b1a81e53527c"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: middle of slope, landing cove area"	"e988b648-b89c-40f1-bded-04396f53db7b"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island. landing canyon,"	"fa7857f0-7a79-435b-b63a-a5c279bfd95a"	16
"poaceae"	"bromus"	"arizonicus"	"california"	"santa barbara"	"santa barbara island: w of cliff cyn, opposite shag rock"	"fbd3c106-f7a0-4642-9708-2f4fc4ca3cb9"	16
"poaceae"	"bromus"	"carinatus"	"california"	"santa barbara"	"santa barbara island."	"1a9002d3-eeee-4f3a-b5bb-9cddd033b404"	1
"poaceae"	"bromus"	"carinatus"	"california"	"santa barbara"	"santa barbara island."	"1a9002d3-eeee-4f3a-b5bb-9cddd033b404"	1
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island: n side of signal pk"	"18e4d651-cfae-42dd-a819-f0c1c57fa902"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island; canyon bank e side of landing"	"3d48c0f7-916f-4e61-bc59-4fecee0e3096"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island: lower middle cyn"	"3f18a04d-66ff-4704-89ec-3533801d7437"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island. east side landing."	"48cbadbc-69d8-4371-bb37-851e0eeb53cc"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island. east side landing."	"49c96c37-6175-41f5-bb1f-61b2f41ecb27"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island: n flanks of signal pk, along trail between saddle on main ridge and w side of island"	"574677d9-c738-4650-b66e-bef16db8c8d4"	14
"poaceae"	"bromus"	"diandrus"	"california"	"los angeles"	"santa barbara island. east side landing."	"5b122c41-3d76-4637-a02c-d3c17a9701f1"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island: s side of landing cove, along trail from landing to nps ranger stn"	"b0ecd38f-8ac5-43d8-bee8-a1ee1c99328b"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island: e side landing"	"b3344915-7a08-446e-959c-0edd0478bafb"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island: upper nw slope of signal pk"	"c06ecf1f-8d1f-41be-b2fb-65039c4e5b22"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island. east side landing."	"cd8da65d-d8ff-4bcb-a6bc-14f265c6def1"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"channel islands santa barbara island, west side of island, on north side of signal peak"	"d2c024aa-15d9-493f-bde7-88753376d3ad"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island: e side landing"	"dad02d52-ebef-460c-8d28-8c32d632d532"	14
"poaceae"	"bromus"	"diandrus"	"california"	"santa barbara"	"santa barbara island. east side landing."	"db0bdd04-f70f-4013-b784-d385478412d8"	14
"poaceae"	"bromus"	"madritensis"	"california"	"santa barbara"	"santa barbara island; grassy plateau between headwaters of middle and graveyeard canyons"	"5f527442-d7c7-4ef0-8470-a20de134fbe1"	4
"poaceae"	"bromus"	"madritensis"	"california"	"santa barbara"	"santa barbara island; between landing cove and cliff canyon; rocky south-facing slope of small canyon"	"90c4e7a8-1428-42c1-b0c4-50de95fb8101"	4
"poaceae"	"bromus"	"madritensis"	"california"	"santa barbara"	"santa barbara island; grassy plateau between heeadwaters of middle and graveyard canyons"	"ac742c92-886a-4b60-8882-f66636179bf4"	4
"poaceae"	"bromus"	"madritensis"	"california"	"santa barbara"	"santa barbara island; top of signal peak"	"f722bc5e-910b-4500-9460-8ab2a8e24acf"	4
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island; north-facing slope in lower part of cave canyon."	"0dc23f2b-8029-4f39-8381-a08337623bd1"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"east side of santa brabara is."	"199aedd4-d405-4da1-9a61-46270a59529b"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: upper middle cyn"	"215b2243-5c24-4f89-8922-22033d40232e"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: upper graveyard cyn below rd, above fork in cyn"	"23446ce9-66cf-494a-9004-a052d3c2b531"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island. east side of island."	"3a008fd8-9590-4317-8a98-61e3ecc4d6ef"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island."	"4a08d129-d275-4f51-980b-1610aa2bf5c9"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"east side of santa barbara island."	"4d4e25bf-17d6-47a5-997e-038a3259f54c"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"5616d933-8fb1-49b4-a6f4-41f5c977437f"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island"	"59fb0103-89a1-4255-8f1f-bde663d4d66f"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: rocky, n-facing slope in lower part of cave canyon"	"610c99b8-17f4-4c59-97f2-44dc46ad9f9b"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island. east side of island."	"7fdac9e4-9175-4391-8f8b-08fd9bfe5f7f"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: upper middle cyn"	"b321eaeb-bc3e-4db7-9238-016353d649fd"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: east side"	"bbb1888d-5ac3-4774-84d6-054012fb38b5"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"mouth of cave canyon on east side of island. santa barbara island"	"c84888c0-9310-4434-bd10-ed62473e542e"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island channel islands, santa barbara island"	"cf31601a-b817-47d9-bba2-43e524bec8d2"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"east side of santa barbara island"	"da4a2d6f-443f-47a1-83c4-052e9e71b4d2"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island"	"df22e999-4398-4f90-90b7-1839723c0e8b"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: graveyard cyn near its head"	"df288e91-159e-491f-bb25-694854d2c32a"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: near the center of cave cyn"	"e77d93b9-0585-4e6d-a1f2-8d64ddd5aa8f"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island. east side of island."	"e988b49a-e26a-4186-8f60-e919578ef569"	21
"convolvulaceae"	"calystegia"	"macrostegia"	"california"	"santa barbara"	"santa barbara island: mouth of cave cyn, e side of island"	"fe83ffb5-d7a4-4e44-b1e4-46e3c0981cc2"	21
"cannabaceae"	"cannabis"	"sativa"	"california"	"santa barbara"	"santa barbara island: n-facing slope of lower middle cyn"	"087975ab-9354-44b9-ac45-bb3f547a1d37"	4
"cannabaceae"	"cannabis"	"sativa"	"california"	"santa barbara"	"santa barbara island: n-facing slope of lower middle cyn"	"0905f7f1-6b94-4500-ba93-fee8ac77934c"	4
"cannabaceae"	"cannabis"	"sativa"	"california"	"santa barbara"	"santa barbara island: n-facing slope of lower middle cyn"	"5beea757-3236-4f7a-859a-88a8707d42fb"	4
"cannabaceae"	"cannabis"	"sativa"	"california"	"santa barbara"	"santa barbara island: n-facing slope of lower middle cyn"	"668317e9-bcc3-4495-9269-d2ff10707a0a"	4
"asteraceae"	"centaurea"	"melitensis"	"california"	"santa barbara"	"santa barbara island: above landing cove"	"16bc27ed-d380-4e6a-a91c-bebd8ebcf854"	7
"asteraceae"	"centaurea"	"melitensis"	"california"	"santa barbara"	"santa barbara island. upper nw slope of signal peak"	"2427cdd1-92af-4b63-af5a-1be830dbc0cc"	7
"asteraceae"	"centaurea"	"melitensis"	"california"	"santa barbara"	"santa barbara island. n of buildings, s of landing cove"	"53e8c41c-ed6c-48f1-81e9-3732caa886c2"	7
"asteraceae"	"centaurea"	"melitensis"	"california"	"santa barbara"	"santa barbara island: nw side of signal pk"	"a17fd5f3-45e1-4fd2-8495-e593dc4aac7a"	7
"asteraceae"	"centaurea"	"melitensis"	"california"	"santa barbara"	"santa barbara island: near buildings s of landing cove"	"b312044e-4b89-42b1-87de-7cda5b37b773"	7
"asteraceae"	"centaurea"	"melitensis"	"california"	"santa barbara"	"santa barbara island: signal pk"	"cad60e08-7610-4f0c-86d3-d103ee4798b3"	7
"asteraceae"	"centaurea"	"melitensis"	"california"	"santa barbara"	"santa barbara island. weedy area along tracks above landing cove"	"d05ce03e-c24b-4cd5-8b32-08c86c60c0e1"	7
"pteridaceae"	"cheilanthes"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"158beb96-21b5-4fa6-9e5b-68bb3765a9c0"	1
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island. mouth of cave canyon."	"09083e9b-4fcf-40bc-b554-fc9f3d2d6c81"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island, graveyard canyon, east side of island"	"2f4240f3-0714-4386-9243-2eaa1d0df2ca"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island channel islands"	"3073c6af-e111-409e-bf24-b55ef7707819"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: se point of island, between graveyard and cat cyn"	"348c2350-f402-48e4-90ef-05e27b785971"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: north pk"	"3dddd402-e952-48cd-bfa2-759f464c582b"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island. landing canyon,"	"3f04d586-ed90-47b8-9977-e59bda428877"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: mouth of cave cyn, e side of island"	"511b8891-aee9-4582-9d29-be8c36eb8f4b"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: east coast"	"8bd6a306-df4f-4ec8-97cf-7b9e2c9c4668"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"8fe3ebe8-2bd1-44c4-8111-f9246c824854"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: landing cove"	"96c62611-249b-40d4-aad2-5183e7e8ab19"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island."	"a7a73fbd-d9b7-4a50-8ddd-29c63a2edb96"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: shag rock"	"da6ba005-6f97-45ae-991a-b266f88e0762"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: w of arch pt on n side of island"	"dd01beaa-c12c-48ae-b532-07ee2f27b681"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island. small canyon between landing cove and cliff canyon"	"ea3d434b-ca43-4d80-8221-eadbdc334a39"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"grassy terrace on east side of santa barbara island"	"ef9806f0-b841-49ca-a1f8-a7223f71e796"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: sutil island, just below summit"	"efa123d5-4f35-4b08-9a2c-0eb033af5371"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: between north pk and signal pk"	"f0dad3c1-df62-4132-b845-5bd09055df82"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: graveyard cyn"	"f15bfe8d-fed2-41f3-a09b-2306266c4bb8"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: signal pk"	"f3680e2a-18b3-4aa9-84b2-1b878e66fb06"	20
"amaranthaceae"	"chenopodium"	"murale"	"california"	"santa barbara"	"santa barbara island: above landing cove"	"f95f406c-8672-4603-b23f-d0194c5f4c0e"	20
"montiaceae"	"claytonia"	"perfoliata"	"california"	"santa barbara"	"santa barbara island: landing cove"	"2a0754a7-5c73-47ea-aa69-eea7e174007c"	5
"montiaceae"	"claytonia"	"perfoliata"	"california"	"santa barbara"	"santa barbara island: near center of cave cyn"	"7892f1cc-6ab5-47e3-aa6b-a3fea33f1f6d"	5
"montiaceae"	"claytonia"	"perfoliata"	"california"	"santa barbara"	"santa barbara island. graveyard canyon."	"d6e1df88-2bc2-4088-9156-84cc578afa64"	5
"montiaceae"	"claytonia"	"perfoliata"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"f1a9fcf9-ebb1-4448-9196-9320aa1cdd9f"	5
"montiaceae"	"claytonia"	"perfoliata"	"california"	"santa barbara"	"landing cove. santa barbara island"	"f9e08315-3499-486f-adb4-afa177c6f800"	5
"asteraceae"	"cotula"	"australis"	"california"	"santa barbara"	"santa barbara island: s end of landing cove on terrace, around flagpole in front of nat park service quonset hut"	"169f217e-857e-454b-8796-2a4ba6c4d048"	2
"asteraceae"	"cotula"	"australis"	"california"	"santa barbara"	"santa barbara island: top of landing cove trail, at flagpole n of nps ranger residence"	"dd43081a-cf2f-456c-b811-68cff104e3dc"	2
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: graveyard cyn, just below jct of forks"	"019dc260-79ac-4bd8-8cd7-7b0e8d0b7302"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: s end of island, at top of coastal bluffs just w of mouth of cat cyn"	"0c99e7d4-7e5e-4830-8ae9-7cf5ee66a4fc"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"landing cove. santa barbara island"	"161bb852-272a-4584-b226-b5c8df3a1b41"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: graveyard canyon near junction of north and south forks"	"195efbc5-ba13-4978-9f66-7f4985eb35a8"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: head of graveyard cyn"	"2cc3299f-df5d-4a7c-9bd4-2a40c3488f05"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: above landing cove"	"2dd7954d-f4ce-49bb-8f05-25e15e67bf6b"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: graveyard cyn near jct of n and s forks"	"322fc092-eef0-4194-846f-59b2ff4bdb53"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: north slope of signal peak"	"4c14aecb-c5f8-4673-8ea7-99213972861c"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: mouth of middle cyn"	"57de01c3-47d9-4a39-819d-f15064175cb2"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: head of cave canyon"	"5d6edaa2-8ca4-4159-8925-ff9dba64eeb3"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island. 2nd canyon south"	"5f24f95d-7ea0-4061-8364-f54808d09127"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: head of cave cyn"	"614d55af-1b0f-4959-8c9c-d306f6a769f4"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: landing cove area"	"685dace0-5f7c-4a20-b70f-6c59270040e4"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: n side of north pk"	"6a47e848-bcf3-4570-a2fb-2efd2eecef4c"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: n slope of signal pk"	"6e95bf15-d51d-4de0-ab1a-57b309c0ecd6"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"70cf715d-bb72-431d-a888-b242d92b40ae"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: landing cove"	"795bbdaf-a6d2-40ad-a4e8-3fe9132e9044"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: graveyard cyn, just above fork in cyn"	"88ebcc84-6c04-4cc2-bf49-9be095a4a307"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: lower middle cyn"	"89b6c242-89f6-4b64-9785-5e47f07d3ffc"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island. head of graveyard canyon."	"89e70090-041e-4e5a-b430-7264f0223d26"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: n edge of lower-middle portion of cave cyn"	"9f40f10c-bdf5-4f16-bdac-a086f8e43fb0"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: second canyon south on shaded side"	"ac1d2574-3e6e-4594-8c9a-e1e06644056c"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: e of north pk"	"cf5b685d-7c60-4422-8d36-51e03c98958e"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island. along track above landing cove"	"d00b3ce6-e582-412b-8dd6-57d935d0e649"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: above wooden platform, landing cove"	"d6d9195d-83cd-4b32-8fbc-2c8fae06e3b9"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"n side of north peak. santa barbara island"	"e3a2bf75-1177-4f27-b607-2b750b72ff11"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: shaded side, s of second cyn (middle cyn)"	"f3f9b2a2-e260-455a-96d9-4e1371d2ba16"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island. head of graveyard canyon."	"f7c4ad99-f5d2-40a5-9695-974eb6624a2d"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island. n-facing slope along path above landing cove"	"fbc4853e-928f-4553-b10b-9249cfe8592d"	30
"boraginaceae"	"cryptantha"	"clevelandii"	"california"	"santa barbara"	"santa barbara island: signal hill"	"fd60e30f-737a-4702-a8a3-93742db56c0a"	30
"boraginaceae"	"cryptantha"	"maritima"	"california"	"los angeles"	"san clemente island: south end cliffs"	"0080a5cc-9903-48c0-9bd1-6859a4e4a77b"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: s end of island, between cat cyn and sutil island"	"1a658f4f-66a3-40a2-8993-16ca15b6ad52"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: signal pk"	"33a24fc8-6514-477f-aed3-de2fc51f18e6"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: first small cyn n of graveyard cyn"	"35523ddc-3686-405b-a351-51f4f2ad3c18"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: middle cyn on e side of island"	"469cfa25-9c14-49f6-8883-57290bbea086"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: just n of landing cove, near shell mound"	"56102d1c-36f9-4218-9350-ac66da177856"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island. s end of cliff"	"57665f40-5109-4526-a1fa-1af2b00b32bf"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: above wooden platform, landing cove"	"5fcc6f4e-f1c6-4ad0-8312-b27be43459b7"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: mouth of middle cyn"	"6ef20fbf-8c80-4884-a8b1-97f58ba11902"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: cave cyn near its mouth"	"7bf0f1be-f87c-4eb5-ba17-5d6c82c1df99"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: upper graveyard cyn"	"8b6b29a5-6d5b-46b3-b545-981395c1cb43"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: s end of island, between cat cyn and sutil island"	"8be18a71-4811-442d-afad-ee9ee274e614"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: cat cyn"	"908f256f-8117-41e5-8fff-3b44be949c34"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: mouth of cave cyn, e side of island"	"95cc7b0d-4ac9-40e2-bfdb-6ac99d766599"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island. south end."	"99991b64-7366-40ab-b34c-77d0a80d8013"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: south end of cliffs"	"a4c2f6c6-535a-415c-84d8-52ddef0cffd1"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: santa barbara island, e of sutil"	"a7dee277-2377-461b-9844-239f941819db"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: mouth of middle cyn"	"a8e6e0bd-2999-4cac-8a01-1729b2726e89"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: between middle cyn and graveyard cyn"	"b72a0a53-8cf0-4442-a5c7-090569b9d7e9"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: cave cyn near its mouth"	"bbfd40d2-5017-4213-91c3-657f575f9cc8"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: cliff cyn"	"d00079bb-7d19-47c2-a8e0-28ba9451fc60"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"channel islands santa barbara island, south end of island"	"d35d458f-5f65-4fcf-a2cb-7c19eb190a89"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: mouth of cat cyn"	"e7851a2d-903b-4217-bd63-20db6aff5d37"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"santa barbara island: lower cave cyn"	"fdaa41d6-8c34-4177-815d-55d744c5bc1b"	25
"boraginaceae"	"cryptantha"	"maritima"	"california"	"santa barbara"	"lower cave canyon. santa barbara island"	"fdc43391-2b74-41ef-aeac-6223adf87654"	25
"poaceae"	"cynodon"	"dactylon"	"california"	"santa barbara"	"santa barbara island: n side of webster pt, just s of trail at bridge across gully"	"1308d59c-5c5e-4469-8d23-60497534dc9a"	1
"apiaceae"	"daucus"	"pusillus"	"california"	"santa barbara"	"santa barbara island: e side of head of cat cyn"	"1c02f534-b4c4-4e7a-bafc-a1985fcbc7d6"	4
"apiaceae"	"daucus"	"pusillus"	"california"	"santa barbara"	"santa barbara island. along track above landing cove"	"3264de16-d461-4f20-ab0d-6a7dc8e934fb"	4
"apiaceae"	"daucus"	"pusillus"	"california"	"santa barbara"	"santa barbara island: bluffs above landing cove"	"62c8f9c3-c7c7-48b5-80f8-641338db400e"	4
"apiaceae"	"daucus"	"pusillus"	"california"	"santa barbara"	"santa barbara island: landing cove"	"aced5d25-f909-463b-9fd7-6bc2d34ae894"	4
"asparagaceae"	"dichelostemma"	"capitatum"	"california"	"santa barbara"	"santa barbara island: upper part of graveyard cyn"	"418d6e96-430e-4a01-8885-220a37db7ba8"	9
"asparagaceae"	"dichelostemma"	"capitatum"	"california"	"santa barbara"	"santa barbara island: lower-middle cliff cyn"	"4c69804f-853f-43df-88cc-bbb119b1627c"	9
"asparagaceae"	"dichelostemma"	"capitatum"	"california"	"santa barbara"	"santa barbara island: landing cove"	"5295d56a-e4d3-401c-973b-bae4d4e90d1b"	9
"asparagaceae"	"dichelostemma"	"capitatum"	"california"	"santa barbara"	"santa barbara island."	"85a8953b-4b5f-4a73-9c11-2045caa7ad89"	9
"asparagaceae"	"dichelostemma"	"capitatum"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"c0636e87-f529-41db-8053-84d33e5c1019"	9
"asparagaceae"	"dichelostemma"	"capitatum"	"california"	"santa barbara"	"santa barbara island: n base of webster pt peninsula"	"cb71a34b-b79c-4c0f-884e-0bb3f650c5dc"	9
